team,group,fifa_code,degree_centrality,betweenness,closeness,eigenvector,n_cities_visited,bfs_dist_from_BRA
England,L,ENG,0.439024,0.081387,0.640625,0.205906,3,1
Canada,B,CAN,0.317073,0.069473,0.569444,0.122443,2,2
Curaçao,E,CUR,0.487805,0.056347,0.66129,0.238983,3,1
Argentina,J,ARG,0.414634,0.053083,0.621212,0.154382,3,2
USA,D,USA,0.365854,0.045154,0.569444,0.117411,3,2
Croatia,L,CRO,0.463415,0.044771,0.640625,0.225896,3,1
Tunisia,F,TUN,0.365854,0.043234,0.61194,0.160247,3,2
Netherlands,F,NED,0.365854,0.043094,0.61194,0.171263,2,2
Japan,F,JPN,0.341463,0.038964,0.602941,0.142836,3,2
Ecuador,E,ECU,0.414634,0.038846,0.621212,0.20995,3,1
Australia,D,AUS,0.365854,0.036645,0.602941,0.120674,3,2
Germany,E,GER,0.463415,0.034144,0.630769,0.233783,3,1
Paraguay,D,PAR,0.365854,0.031195,0.602941,0.120238,3,2
Haiti,C,HAI,0.414634,0.021504,0.569444,0.209728,3,1
Morocco,C,MAR,0.414634,0.020041,0.569444,0.20527,3,1
Colombia,K,COL,0.365854,0.019179,0.554054,0.162772,3,2
Panama,L,PAN,0.317073,0.018111,0.561644,0.158751,2,1
Saudi Arabia,H,KSA,0.341463,0.017356,0.532468,0.147647,3,1
Cabo Verde,H,CPV,0.341463,0.017356,0.532468,0.147647,3,1
Algeria,J,ALG,0.268293,0.015866,0.539474,0.099867,2,2
Brazil,C,BRA,0.439024,0.015085,0.577465,0.228683,3,0
Uzbekistan,K,UZB,0.341463,0.014475,0.546667,0.158756,3,2
Austria,J,AUT,0.268293,0.014293,0.569444,0.099685,2,2
Uruguay,H,URU,0.341463,0.010855,0.546667,0.168643,2,1
South Africa,A,RSA,0.268293,0.01052,0.518987,0.10946,3,2
Norway,I,NOR,0.365854,0.009232,0.577465,0.196311,3,1
Ghana,L,GHA,0.365854,0.009232,0.577465,0.196311,3,1
Portugal,K,POR,0.317073,0.00716,0.539474,0.166128,2,1
Switzerland,B,SUI,0.317073,0.006439,0.482353,0.083618,3,3
South Korea,A,KOR,0.170732,0.005958,0.465909,0.062965,2,2
Qatar,B,QAT,0.292683,0.00587,0.476744,0.073773,3,3
Senegal,I,SEN,0.292683,0.005557,0.554054,0.156237,2,1
Spain,H,ESP,0.317073,0.005141,0.539474,0.155328,2,2
France,I,FRA,0.341463,0.004405,0.532468,0.188973,3,1
Côte d'Ivoire,E,CIV,0.292683,0.003667,0.554054,0.161167,2,1
Scotland,C,SCO,0.268293,0.0032,0.5125,0.139902,2,1
Belgium,G,BEL,0.268293,0.003118,0.471264,0.070892,3,3
New Zealand,G,NZL,0.268293,0.003118,0.471264,0.070892,2,3
Jordan,J,JOR,0.243902,0.001494,0.43617,0.064974,2,3
Egypt,G,EGY,0.195122,0.000974,0.455556,0.049235,2,3
IR Iran,G,IRN,0.243902,0.000838,0.43617,0.063084,2,3
Mexico,A,MEX,0.146341,0.000203,0.394231,0.053761,2,2
