id,match_number,home_team_id,away_team_id,city_id,stage_id,kickoff_at,match_label
1,1,1,2,15,1,2026-06-11 15:00:00-06,Group A
2,2,3,4,14,1,2026-06-11 21:00:00-06,Group A
3,3,5,6,12,1,2026-06-12 15:00:00-04,Group B
4,4,13,14,6,1,2026-06-12 18:00:00-07,Group D
5,5,11,12,2,1,2026-06-13 15:00:00-04,Group C
6,6,9,10,8,1,2026-06-13 18:00:00-04,Group C
7,7,7,8,10,1,2026-06-13 12:00:00-07,Group B
8,8,15,16,13,1,2026-06-13 21:00:00-07,Group D
9,9,17,18,4,1,2026-06-14 13:00:00-05,Group E
10,10,19,20,9,1,2026-06-14 19:00:00-04,Group E
11,11,21,22,3,1,2026-06-14 16:00:00-05,Group F
12,12,24,23,16,1,2026-06-14 22:00:00-06,Group F
13,13,31,32,7,1,2026-06-15 18:00:00-04,Group H
14,14,29,30,1,1,2026-06-15 12:00:00-04,Group H
15,15,27,28,6,1,2026-06-15 21:00:00-07,Group G
16,16,25,26,11,1,2026-06-15 12:00:00-07,Group G
17,17,33,34,8,1,2026-06-16 15:00:00-04,Group I
18,18,36,35,2,1,2026-06-16 18:00:00-04,Group I
19,19,37,38,5,1,2026-06-16 21:00:00-05,Group J
20,20,39,40,10,1,2026-06-16 00:00:00-07,Group J
21,21,47,48,12,1,2026-06-17 19:00:00-04,Group L
22,22,45,46,3,1,2026-06-17 16:00:00-05,Group L
23,23,41,44,4,1,2026-06-17 13:00:00-05,Group K
24,24,43,42,15,1,2026-06-17 22:00:00-06,Group K
25,25,4,2,1,1,2026-06-18 12:00:00-04,Group A
26,26,8,6,6,1,2026-06-18 15:00:00-07,Group B
27,27,5,7,13,1,2026-06-18 18:00:00-07,Group B
28,28,1,3,14,1,2026-06-18 21:00:00-06,Group A
29,29,9,11,9,1,2026-06-19 21:00:00-04,Group C
30,30,12,10,2,1,2026-06-19 18:00:00-04,Group C
31,31,16,14,10,1,2026-06-19 00:00:00-07,Group D
32,32,13,15,11,1,2026-06-19 15:00:00-07,Group D
33,33,17,19,12,1,2026-06-20 16:00:00-04,Group E
34,34,20,18,5,1,2026-06-20 20:00:00-05,Group E
35,35,21,24,4,1,2026-06-20 13:00:00-05,Group F
36,36,23,22,16,1,2026-06-20 00:00:00-06,Group F
37,37,32,30,7,1,2026-06-21 18:00:00-04,Group H
38,38,29,31,1,1,2026-06-21 12:00:00-04,Group H
39,39,25,27,6,1,2026-06-21 15:00:00-07,Group G
40,40,28,26,13,1,2026-06-21 21:00:00-07,Group G
41,41,35,34,8,1,2026-06-22 20:00:00-04,Group I
42,42,33,36,9,1,2026-06-22 17:00:00-04,Group I
43,43,37,39,3,1,2026-06-22 13:00:00-05,Group J
44,44,40,38,10,1,2026-06-22 23:00:00-07,Group J
45,45,45,47,2,1,2026-06-23 16:00:00-04,Group L
46,46,48,46,12,1,2026-06-23 19:00:00-04,Group L
47,47,41,43,4,1,2026-06-23 13:00:00-05,Group K
48,48,42,44,14,1,2026-06-23 22:00:00-06,Group K
49,49,2,3,16,1,2026-06-24 23:00:00-06,Group A
50,50,4,1,15,1,2026-06-24 23:00:00-06,Group A
51,51,8,5,13,1,2026-06-24 15:00:00-07,Group B
52,52,6,7,11,1,2026-06-24 15:00:00-07,Group B
53,53,10,11,1,1,2026-06-24 18:00:00-04,Group C
54,54,12,9,7,1,2026-06-24 18:00:00-04,Group C
55,55,14,15,3,1,2026-06-25 21:00:00-05,Group D
56,56,16,13,5,1,2026-06-25 21:00:00-05,Group D
57,57,18,19,9,1,2026-06-25 16:00:00-04,Group E
58,58,20,17,8,1,2026-06-25 16:00:00-04,Group E
59,59,22,24,5,1,2026-06-25 19:00:00-05,Group F
60,60,23,21,3,1,2026-06-25 19:00:00-05,Group F
61,61,26,27,11,1,2026-06-26 23:00:00-07,Group G
62,62,28,25,13,1,2026-06-26 23:00:00-07,Group G
63,63,30,31,14,1,2026-06-26 20:00:00-06,Group H
64,64,32,29,4,1,2026-06-26 20:00:00-06,Group H
65,65,34,36,12,1,2026-06-26 15:00:00-04,Group I
66,66,35,33,2,1,2026-06-26 15:00:00-04,Group I
67,67,38,39,10,1,2026-06-27 16:00:00-07,Group J
68,68,40,37,6,1,2026-06-27 16:00:00-07,Group J
69,69,42,41,8,1,2026-06-27 20:00:00-04,Group K
70,70,44,43,1,1,2026-06-27 20:00:00-04,Group K
71,71,46,47,9,1,2026-06-27 13:00:00-04,Group L
72,72,48,45,7,1,2026-06-27 13:00:00-04,Group L
73,73,,,6,2,2026-06-28 15:00:00-07,Runner-up A vs Runner-up B
74,74,,,2,2,2026-06-29 16:30:00-04,Winner E vs 3rd Place A/B/C/D/F
75,75,,,16,2,2026-06-29 21:00:00-06,Winner F vs Runner-up C
76,76,,,4,2,2026-06-29 13:00:00-05,Winner C vs Runner-up F
77,77,,,8,2,2026-06-30 17:00:00-04,Winner I vs 3rd Place C/D/F/G/H
78,78,,,3,2,2026-06-30 13:00:00-05,Runner-up E vs Runner-up I
79,79,,,1,2,2026-06-30 21:00:00-04,Winner A vs 3rd Place C/E/F/H/I
80,80,,,13,2,2026-07-02 20:30:00-07,Runner-up J vs Runner-up H
81,81,,,15,2,2026-07-04 18:00:00-06,Winner B vs 3rd Place E/F/G/I/J
82,82,,,10,2,2026-07-04 22:00:00-07,Winner J vs Runner-up H
83,83,,,14,2,2026-07-02 21:00:00-06,Winner K vs Runner-up L
84,84,,,5,2,2026-07-03 16:00:00-05,Runner-up D vs Runner-up G
85,85,,,11,2,2026-07-01 19:00:00-07,Winner G vs 3rd Place A/E/H/I/J/K
86,86,,,7,2,2026-07-03 21:30:00-04,Winner H vs Runner-up J
87,87,,,9,2,2026-07-04 15:00:00-04,Winner L vs 3rd Place H/I/K
88,88,,,12,2,2026-07-02 19:00:00-04,Runner-up K vs Runner-up L
89,89,,,2,3,2026-07-04 15:00:00-04,Winner 74 vs Winner 77
90,90,,,11,3,2026-07-04 19:00:00-07,Winner 73 vs Winner 75
91,91,,,4,3,2026-07-05 16:00:00-05,Winner 76 vs Winner 78
92,92,,,1,3,2026-07-05 20:00:00-04,Winner 79 vs Winner 80
93,93,,,9,3,2026-07-06 14:00:00-04,Winner 83 vs Winner 84
94,94,,,3,3,2026-07-06 17:00:00-05,Winner 85 vs Winner 86
95,95,,,1,3,2026-07-07 18:00:00-04,Winner 81 vs Winner 82
96,96,,,13,3,2026-07-07 22:00:00-07,Winner 87 vs Winner 88
97,97,,,2,4,2026-07-09 16:00:00-04,Winner 89 vs Winner 90
98,98,,,6,4,2026-07-10 19:00:00-07,Winner 91 vs Winner 92
99,99,,,7,4,2026-07-11 17:00:00-04,Winner 93 vs Winner 94
100,100,,,5,4,2026-07-11 21:00:00-05,Winner 95 vs Winner 96
101,101,,,3,5,2026-07-14 20:00:00-05,Winner 97 vs Winner 98
102,102,,,1,5,2026-07-15 20:00:00-04,Winner 99 vs Winner 100
103,103,,,7,6,2026-07-18 20:00:00-04,Loser 101 vs Loser 102
104,104,,,8,7,2026-07-19 15:00:00-04,Winner 101 vs Winner 102
